# SPDX-License-Identifier: AGPL-3.0-or-later
# id	archive	url	sha256	license-expression
module-github.com_opencontainers_cgroups@v0.0.6	github.com_opencontainers_cgroups@v0.0.6.zip	https://proxy.golang.org/github.com/opencontainers/cgroups/@v/v0.0.6.zip	d39a6a61c2a38689b7df68bb51ad2a0847b942970ad7051a12ade7dc84c1aa2a	Apache-2.0
module-github.com_opencontainers_runc@v1.4.2	github.com_opencontainers_runc@v1.4.2.zip	https://proxy.golang.org/github.com/opencontainers/runc/@v/v1.4.2.zip	507e956c1506fc2a0be1c90e66bd1c0d2824f2a8747ce165710d8cad7b95ccd3	Apache-2.0
module-github.com_opencontainers_runtime-spec@v1.3.0	github.com_opencontainers_runtime-spec@v1.3.0.zip	https://proxy.golang.org/github.com/opencontainers/runtime-spec/@v/v1.3.0.zip	09e58e616eb70f2972ed19ada447dd661b298b39777adb0bbd35c94886bdbdf8	Apache-2.0
module-github.com_opencontainers_runtime-tools@v0.9.1-0.20251114084447-edf4cb3d2116	github.com_opencontainers_runtime-tools@v0.9.1-0.20251114084447-edf4cb3d2116.zip	https://proxy.golang.org/github.com/opencontainers/runtime-tools/@v/v0.9.1-0.20251114084447-edf4cb3d2116.zip	02a13b5731f9232d9c4c91d7d25348245dbe6a53a2ee43edcc0a4e036a3b8e8c	Apache-2.0
module-github.com_pelletier_go-toml@v1.9.5	github.com_pelletier_go-toml@v1.9.5.zip	https://proxy.golang.org/github.com/pelletier/go-toml/@v/v1.9.5.zip	de3dcda660cc800cd86d03273a25956d67f416e8fcbe4d2001a2cb4a01e6ac60	MIT AND Apache-2.0
module-github.com_prometheus_procfs@v0.19.2	github.com_prometheus_procfs@v0.19.2.zip	https://proxy.golang.org/github.com/prometheus/procfs/@v/v0.19.2.zip	354e627c196c228369c9e97bca5ff59d8ce2b338756de249d8d343226424c76f	Apache-2.0
module-github.com_sirupsen_logrus@v1.9.4	github.com_sirupsen_logrus@v1.9.4.zip	https://proxy.golang.org/github.com/sirupsen/logrus/@v/v1.9.4.zip	3847d00c5ee6948f1ff0d0120bc343c55ce852becb7720f8f08f53eecfe9e437	MIT
module-github.com_urfave_cli-altsrc_v3@v3.1.0	github.com_urfave_cli-altsrc_v3@v3.1.0.zip	https://proxy.golang.org/github.com/urfave/cli-altsrc/v3/@v/v3.1.0.zip	d2c18a92c16fbb2f9cb1568cac67d27a0d4eb781dbfec7a057561833a3fed024	MIT
module-github.com_urfave_cli_v3@v3.6.2	github.com_urfave_cli_v3@v3.6.2.zip	https://proxy.golang.org/github.com/urfave/cli/v3/@v/v3.6.2.zip	531ad41bfe2f3efc8dac6be050c48862aa84685a0a8596dce953b3cabd95896c	MIT
module-golang.org_x_mod@v0.33.0	golang.org_x_mod@v0.33.0.zip	https://proxy.golang.org/golang.org/x/mod/@v/v0.33.0.zip	a5a4c8a9f6700712216df6bc4bc45544494736b5383aebb784fdb2dd0f41f36b	BSD-3-Clause
module-golang.org_x_sys@v0.41.0	golang.org_x_sys@v0.41.0.zip	https://proxy.golang.org/golang.org/x/sys/@v/v0.41.0.zip	c48084c62177045c1091e3cab99aa03ebb003027435ca8bd36bb851340480a40	BSD-3-Clause
module-gopkg.in_yaml.v3@v3.0.1	gopkg.in_yaml.v3@v3.0.1.zip	https://proxy.golang.org/gopkg.in/yaml.v3/@v/v3.0.1.zip	aab8fbc4e6300ea08e6afe1caea18a21c90c79f489f52c53e2f20431f1a9a015	MIT AND Apache-2.0
module-sigs.k8s.io_yaml@v1.4.0	sigs.k8s.io_yaml@v1.4.0.zip	https://proxy.golang.org/sigs.k8s.io/yaml/@v/v1.4.0.zip	ef031ff78ff9b7036e174eef49dfbd77468dc4f0afb73a639b61f8ab3a1cc425	Apache-2.0 AND MIT
module-tags.cncf.io_container-device-interface@v1.1.0	tags.cncf.io_container-device-interface@v1.1.0.zip	https://proxy.golang.org/tags.cncf.io/container-device-interface/@v/v1.1.0.zip	1e5cd303b687e2c0ae4d6c6bd64d08b35ff78584ea08246125fd97ca879d52f1	Apache-2.0
module-tags.cncf.io_container-device-interface_specs-go@v1.1.0	tags.cncf.io_container-device-interface_specs-go@v1.1.0.zip	https://proxy.golang.org/tags.cncf.io/container-device-interface/specs-go/@v/v1.1.0.zip	f354d6b20b5f35edaa3eb57ddbc9751725454a10ca8e6c2cf103c4053e5a5711	Apache-2.0
